Review,Aspects,Sentiments
der Wechsel hat super geklappt.,"wechsel,super",positive
prompte Bearbeitung; sehr übersichtliches Portal; fairer Preis --> bis jetzt alles super!,"bearbeitung,preis,super",positive
scheller Ablauf und Bearbeitung des Antrages,"ablauf,bearbeitung",positive
Der Abschluß der Versicherung war Online einfach und ohne größere Probleme zu bewältigen.ann ich nur weiter empfehlen.,"versicherung,online,einfach,probleme,empfehlen",positive
"Der online Prozess ist sauber strukturiert und einfach zu durch laufen.ie Erreichbarkeit am Telefon ist nur befriedigend, allerdings war der Kontakt sehr freundlich und kompetent.eitere Erfahrung werde ich als Neukunde erst noch machen.","online,einfach,erreichbarkeit,telefon,kontakt,freundlich,kompetent",positive
Kompetent und schnell! Die Bearbeitung ging problemlos und die Versicherunhgspolice war schon am nächsten Tag da.,"kompetent,schnell,bearbeitung,problemlos,versicherunhgspolice",positive
Nicht empfehlenswert,,negativ
Ging alles sehr einfach und schnell am tel.waren die Mitarbeiter sehr hilfsbereit und freundlich.,"einfach,schnell,mitarbeiter,freundlich",positive
schnell und unkompliziert. Günstig im Preis / Leistungsverhältnis,"schnell,unkompliziert,preis",positive
"Angebot hat gestimmt, Abschluss konnte komplett online erfolgen, ohne umständliches Unterlagen ausdrucken, unterschreiben und zurücksenden!s schien mir, dass ich nicht mit tausend Seiten Kleingedrucktem zugeschüttet wurde!","angebot,abschluss,online,unterlagen",negative
hat alles sehr gut funktioniert,,positive
"reibungslos alle Versicherungen online abgeschlossen,keinerlei Probleme keine Rückfragen, da alles perfekt eingerichtet ist und daher keine Fragen offen bleiben.","reibungslos,online,probleme",positive
Reibungsloser Ablauf.,ablauf,positive
Abschluss lief problemlos. Musste den ersten Vertrag widerrufen da ich mich im Startdatum vertan habe. Aber auch der Widerruf sowie der dann folgende erneute Abschluss sowie der telefonische Kontakt waren hervorragend,"abschluss,problemlos,vertrag,widerruf,telefonische,kontakt",positive
Schnelle und unkomplizierte Abwicklung online.Versendung der Fahrzeugpapiere per Post schnell und vollzählig.,"schnelle,abwicklung,post,schnell",positive
"Sehr gute angebote,schnelle Bearbeitung, kann ich nur weiterempfehlen","angebote,schnelle,bearbeitung",positive
Beim Online-Versichrungsabschluss verlief alles reibungslos.,"online-versichrungsabschluss,reibungslos",positive
"Gute Internetseite,nette MA,Etwas Überlastet.arte noch auf Antwort",antwort,positive
Schnelle und unkomplizierte Anmeldung,schnelle,positive
Der Online Abschluß war gut und einfach .,"online,einfach",positive
Alles zur Zufriedenheit. Jederzeit zu empfehlen.,empfehlen,positive
Beim Fahrzeugwechsel laeuft alles reibungslos. Sehr entgegenkommende Service. Und vorallem Preislich sehr gut.,"fahrzeugwechsel,reibungslos,service,preislich",positive
Hab noch keine Erfahrung,,neutral
Es war alles einfach die Anmeldung. Schön wäre noch ein Ummeldeservice.,"einfach,ummeldeservice",positive
"Hallo,lles war toll!ch bin sehr zufrieden,weil könnte ich alles innerhalb 5 Minuten fertig machen.iele Grüßein Ausländer :)",zufrieden,positive
"Ich habe durch den Wechsel meiner zwei Kfz-Versicherungen viel Geld gespart. Und das bei gleicher Leistung wie vorher. BavariaDirekt war in Preis-Leistung TOP. Kann ich absolut empfehlen. Nicht nur auf den Preis schauen, die Leistungen sind im Ernstfall wichtiger!! Bei BavariaDirekt bin ich zumindest richtig.","wechsel,geld,leistung,top,empfehlen,preis,leistungen",positive
Online Beratung und Abschluss übersichtlich und ohne Probleme.,"online,beratung,abschluss,probleme",positive
Top Versicherung mit super Preis- Leistungsverhältnis,"top,versicherung,super,preis-",positive
"Abschluß äußerst unkompliziert, schnell, günstige Prämie, werde gern empfehlen.","unkompliziert,schnell,empfehlen",positive
Die Webseite ist verständlich aufgebaut. Von der Versicherungsermittlung bis hin zum Vertragsabschluß war für mich alles unkompliziert. Weiter so.,unkompliziert,positive
"Gute Informationseinsicht, schnelle Abwicklung, reibungsloser E-Mail-Verkehr. Was will man mehr?","schnelle,abwicklung",positive
Es hat alles schnell und reibungslos funktioniert.,"schnell,reibungslos",positive
Hat alles gut geklappt. Was mir nur gefehlt hat war die Kündigung der alten Versicherung von der Bavaria. Die musste ich selber kündigen.,versicherung,positive
Intuitive Bedienung für die Beantragung der Kfz Versicherung,"beantragung,kfz,versicherung",positive
Nachfrage über die Kontaktfunktion der Homepage blieb über fünf Tage unbeantwortet.,,negative
"übersichtliche Vergleichsübersicht, unkomplizierte Beantragung",beantragung,positive
"Der Abschluss der Versicherung funktioniert online einfach und problemlos. Was man online nicht hinbekommen hat, kann man über die Hotline abklären oder gleich erledigen.reis-Leistung der Versicherung ist sehr gut.","abschluss,versicherung,online,einfach,problemlos,hotline",positive
"Gleich im ersten Moment war zu erkennen, dass BavariaDirekt den Kunden im Focus hat. Fähre Bewertung bei der Prämienberechnung und ein lukratives Angebot.","kunden,bewertung,angebot",positive
"Empfehlenswert, die Unterlagen sind innerhalb von 10 Tagen bei uns angekommen.Preis-Leistungsverhältnis ist super, Bewertung nach einem Schadensfall, zu gegebener Zeit","unterlagen,super,bewertung,schadensfall",positive
"Der online Antrag hat einen sehr schlechten Aufbau, zumindest wenn man jede Frage korrekt und wahrheitsgemäß beantworten möchte, zum Beispiel schon wenn man ein vor Tagen schon zugelassenes Auto anmelden möchte, die Frage nach dem Schadensfreiheitsrabatt nicht richtig beantworten kann, die Frage der vorversicherung ist sehr schwierig ohne Unterlagen, man kann so keinen Antrag versenden, ein dann möglicher telefonischer Kontakt dauert jeweils! 40 Minutench arbeite seit Jahren täglich am pc, was machen Leute mit noch weniger Erfahrung, aber vielleicht gehen sie nicht so verbohrt logisch an die Sache wie ich","online,antrag,frage,vorversicherung,unterlagen,telefonischer,kontakt",negative
"Ärgerlich war, dass die zuerst genannten Kosten bei Zusendung der schriftlichen Unterlagen um ca *** Euro teurer waren, als beim online Abschluss angegeben.","kosten,zusendung,unterlagen,online,abschluss",negativ
Alles ohne Probleme bis jetzt. Seite ist übersichlich und die Preis für mein auto waren die besten.,"probleme,preis",positive
Ich habe die KFZ-Versicherung online abgeschlossen und es hat alles wunderbar geklappt.,online,positive
Unkompliziert und einfach abzuschließen.ch hatte keine Rückfragen.,"unkompliziert,einfach",positive
Die Website ist leicht Verständlich und Übersichtlich es können Praktisch keine oder kaum Fehler auftreten!!,fehler,positive
"Wir haben die BavariaDirekt als eine faire, korrekte Versicherung kennengelernt. Alles zum Besten!",versicherung,positive
"Guter und schneller Service, bin sehr zufrieden und kann die Bavaria Direkt nur weiterempfehlen","schneller,service,zufrieden",positive
"Alles super gelaufen, problemlose Abwicklung","super,gelaufen,abwicklung",positive
Alles ging super schnell und problemlos.,"super,schnell,problemlos",positive
Es ging alles sehr schnell und Reibungslos.ann man ohne bedenken weiterempfehlen.,"schnell,reibungslos",positive
"Hotline Mangelhaft!s wird einen nicht geholfen. Die Aussage im Call Center:ir sind Online Direkt Versicherer, das müssen Sie im Portal selber machen. Keine Hilfestellung. Unkopetent trotz Aufstockung auf 2 Fahrzeuge.ing bei meinen alten Versicherer unkomplziert und freundlich.bsolute Fehlentscheidung dorthin mal gewechselt zu haben, Stichpunkt ist 30.11.2018","hotline,aussage,call,center,online,freundlich",negative
"Mit dem Abschluss hat alles gut funktioniert, aber ich habe meine Unterlagen noch nicht komplett da ich erst vor kurzem die Versicherung abgeschlossen habe.is jetzt ist alles gut.","abschluss,unterlagen,versicherung",positive
"Ja, dier Abschluss meiner neuen online-Kfzversicherung hat einwandfrei geklappt. Sehr gut waren immer die kurzfristigen Rückmeldungen über den aktuellen Stand der Anmeldung. Gleichzeitig wurde ich auch am Ende schriftlich per Post noch einmal informiert. Die Maske für die Eingaben war auch sehr übersichtlich.","abschluss,post",positive
"Hatte relativ schnellen telefonischen Kontakt, was bei BD bislang selten war. Man konnte mir kompetent und rasch behilflich sein. Bin inzwischen sehr gern Kunde, wobei es mir nicht gefällt, dass die Versicherungsprämien alljährlich teuerer werden obwohl ich bisher Unfallfrei geblieben bin. Günstiger Einstand aber jährlich mehr, das ist keine schöne Verkaufspolitik! Deshalb auch keine 5 Sterne sondern nur 4!","kontakt,kompetent,kunde",negative
"Die Eingaben auf der Maske der Website von BavariaDirekt, die zur Anmeldung nötig waren, waren sehr einfach auszufüllem. Die Antwort erfolge schnell und war nach meiner Meinung umfassend.","einfach,antwort,schnell",positive
"Als Kunde habe ich bis lang gar keine Probleme erlebt.ch hoffe und wünsche, dass es auch so bleibt.nsonsten bin ich mit meiner Versicherung BavariaDirektehr zufrieden!ch würde die BavariaDirekt Versicherung ein jeden weiter empfehlen.","kunde,probleme,versicherung,zufrieden,empfehlen",positive
"Ohne Stress ohne das ich hinter Versicherungspappieren her laufen muss, einfach und unkompliziert. Sehr empfehlenswert.","einfach,unkompliziert",positive
"Der Vertragsabschluss ist unkompliziert und schnell. Auch wenn man fragen hat, oder sogar einen Unfall. Man erhält umgehend Hilfe.","vertragsabschluss,unkompliziert,schnell,unfall",positive
Schnelle Umsetzung und top unkomplizierte Prozesse.,"schnelle,top",positive
Alles bestens gelaufen!!,"bestens,gelaufen",positive
Leider absolut kein guter Service es wird telefonisch viel versprochen aber nicht dran gehalten es in die tat umzusetzen habe nun 5 Telefonate gebraucht um an einen kompetenten Berater zu treffen.,"service,telefonisch",negative
"Der Vertragsabschluss verlief reibungslos und zügig, bei der Tarifauswahl hatte man eine Reihe von Anpassungsmöglichkeiten. Die abgedeckten Fälle sind umfassender als bei preislich vergleichbaren Anbietern. Bisher hatte ich noch keinen Schadensfall, daher lässt sich über die Schadensabwicklung noch nichts Belastbares aussagen.","vertragsabschluss,reibungslos,preislich,schadensfall",positive
Preiswert & schnell,schnell,positive
"Klasse , bin zufrieden","klasse,zufrieden",positive
Beim reinen onlie-Abschluß traten keinerlei Probleme auf. Ist auch für Ungeübte leicht zu tätigen.,probleme,neutral
Es hat alles reibungslos funktioniert. Die Menüführung war Übersichtlich und gut verständlich.,reibungslos,positive
Telefonisch kaum zu erreichen. Wartezeiten von mehr als 20 Minuten. Einloggen funktioniert kaum. Änderungen werden nicht angezeigt usw. Ein Albtraum.,telefonisch,negative
Einfache und schnelle online Abwicklung.,"schnelle,online,abwicklung",positive
Ich bin zu 100 % zufrieden mit dem Vertragsabschluss. Eine nachträgliche Tarifänderung wurde sehr schnell und übersichtlich geändert. Das Preis-/ Leistungsverhältnis ist unschlagbar.offentlich ist die Schadensregulierung genauso gut. Aber am Besten will ich das nie testen.,"zufrieden,vertragsabschluss,schnell,schadensregulierung",positive
"Im Großen und Ganzen schon.eider gab es eine kleine Überschneidung mit der Abmeldung des alten Fahrzeugs und so kamen unnötigerweise 2 Briefe bzgl. altes Kfz! Hätte man auch online bestätigen können.ußerdem hatte ich diesbezüglich ein Kontaktformular ausgefüllt, was leider unbeantwortet blieb!n den den normalen FAQ steht dazu auch nichts...schade! Könnte jede Menge Schriftverkehr abkürzen!!!","kfz,online,kontaktformular,schade",negative
Telefonische erreichbar gut Beratung sehr gut nett und freundlich,"telefonische,beratung,freundlich",positive
"KFZ Versicherung 2 Wagen am 16102018 abgeschlossen, lief alles prima.","kfz,versicherung",positive
Günstiger Preis und viele Wahlmöglichkeiten bei de Methoden der Beitragszahlung. Sehr einfache und übersichtliche Internetseite mit Eingabehilfen. Der eMail Versand von eVB Nummer und Unterlagen lief reibungslos. Fühle mich bisher recht wohl mit meiner Entscheidung für die Bavaria.inziger Kritikpunkt... Ich hatte im Vorfeld (an einem Samstag) eine Frage via Email gestellt und bis heute (7 Tage später) noch keine Antwort darauf erhalten.,"preis,unterlagen,reibungslos,frage,antwort",negative
Sehr unkomplizierte Online-Abwicklung bei Versicherungsabschluss bzw. -änderung - empfehlenswert!,,positive
sehr nett immer hilfsbereit,,positive
"BavariaDirekt ist kIurz und bündig, gut zu verstehen.eider kann ich das von meinem Vorversicherer HDI nicht behaupten. Seit einer Woche keine Reaktion auf mein per e-mail versandtes Kündigungsschreiben.",reaktion,positive
Guter Tarif...bester Preis.....online Abschluss war problemlos...klare Webseite,"tarif,preis,online,abschluss,problemlos",positive
"Seit vielen Jahren laufen die Autoversicherungen aller Mitglieder meiner Familie bei Bavaria. Zum x-ten mal wurden Fahrzeugwechsel und Tarifumstellungen vollzogen, und zwar mit ausnahmslos vorbildlichem und zügigem Ablauf. Eigentlich kann es nicht besser laufen - und dann noch bei diesem Preis!","ablauf,preis",positive
Sehr flexible und schnelle Bearbeitung von Abschlüssen und Fragen.,"schnelle,bearbeitung",positive
Telefonischer Kontakt war schwierig herzustellen.,"telefonischer,kontakt",negative
Am Telefon teilweise etwas schnippisch aber sonst gut!,telefon,positive
"Ich habe online eine Privathaftpflichtversicherung abgeschlossen. Der Antrag war sehr übersichtlich und einfach gestaltet, es gab keine Schwierigkeiten, das passende Modul für mich auszuwählen. Innerhalb nur 2 Tagen erhielt ich den Versicherungsschein.","online,antrag,einfach,versicherungsschein",positive
Alles super und sehr einfach zu bedienen,"super,einfach",positive
Die Eingabe der Daten unterscheidet sich nicht viel von anderen Anbietern. Bestätigung und Fragen werden per email werden schnell vom Versicherer bearbeitet. Superervices.,"schnell,super",positive
Super und unkompliziert,"super,unkompliziert",positive
Günstige Tarife und ein guter Ruf bei Kunden. Schadensfall habe ich noch nicht gehabt. Anmeldung ging fix und problemlos.,"kunden,schadensfall,problemlos",neutral
abschluss kfz versicherung alles sehr gut verlaufen und schnell,"abschluss,kfz,versicherung,schnell",positive
Einfache und schnelle Abwicklung des Vertragsabschlusses.,"schnelle,abwicklung",positive
unmöglich ....telefonisch kaum zu erreichen ...ach endloser wartezeit... sehr unfreundliche mitarbeiterinehme mein widerrufsrecht wahr ...,telefonisch,negative
"Alles sehr toll, Auto Online Berechnen lassen und gleich alles erledigen. Daumen hoch so mag ich das.chnell und Unkompliziert.","online,schnell,unkompliziert",positive
"Ja ohne Probleme und super schnell drei Tage später war auch schon die Bestätigung im Postkasten.nd preislich meiner Meinung nach, momentan nicht zu topench spare im Gegensatz zu meiner alten Versicherung im Jahr 88,49.-€","probleme,super,schnell,preislich,versicherung",positive
schnell und unkompliziert,"schnell,unkompliziert",positive
Bin Zufrieden schnelle Antwort!!,"zufrieden,schnelle,antwort",positive
"Übersichtlich, einfach und schnell","einfach,schnell",positive
online Abschluss für Kfz Versicherung ging schnell und problemlos,"online,abschluss,kfz,versicherung,schnell,problemlos",positive
"Meines Erachtens ein sehr guter Anbieter, in der das Preis-Leistungs-Verhältnis stimmt. Sehr freundliches und kompetentes Fachpersonal, welche alle Anliegen umgehend bearbeiten und Hilfestellungen zu allen Belangen geben. Sehr empfehlenswert.",,positive
Passt!,,positive
Hat alles gut geklapptie Berechnung auf der Internetseite könnte besser sein**,berechnung,positive
Alles schnell und TOP,"schnell,top",positive
hat alles einwandfrei funktioniert.,,positive
Schnelle Antwort und nette Telefonische Beratung,"schnelle,antwort,telefonische,beratung",positive
Noch keine Erfahrung da gerade Vertrag abgeschlossen,vertrag,positive
"Darstellung im Internet wirklich übersichtlich und strukturiert. Warum einige Daten anders dargestellt werden als von mir eingegeben habe ich nicht verstanden, telefonischer Kontakt/ Erreichbarkeit der Kollegen relativ schlecht, hier würde ich erwarten das ich schneller durchkomme. nach einer Woche habe keine Post erhalten mit dem Versicherungsschein, warum wird nicht gleich online was geschickt das ich mir das drucken kann? Bis jetzt bin ich noch positiv eingestellt, sehe aber noch viel Potential bei der Beseitigung von kleineren Fehlern im Ablauf von Abschluss bis Erhalt der Police.","erreichbarkeit,schneller,post,versicherungsschein,online,ablauf,abschluss,police",negative
"Ich habe zum ersten Mal ein Auto selbst versichert. Das war nicht ganz einfach. Schade auch, dass die Versicherung kaum telefonisch erreichbar ist.ls ich aber jemanden am Telefon nach 3 Tagen hatte, wurde mir sehr ausführlich und sehr kompetent bei meiner Kfz-Versicherung geholfen.omisch auch, dass ich die alte Versicherung weiterlaufen lassen muss (über zwei Monate), obwohl ich das neue Auto auch dort bei der gleichen Versicherung versichert habe.as alte Auto wurde für € *** verkauft, also verschrottet - mit Kfz-Versicherung.a ich die Kfz-Versicherung noch nie in Anspruch nehmen musste, habe ich zur Schadensbearbeitung natürlich keine Meinung.ehr positiv: als ich nach Jahren den Kfz-Versicherer fragte, ob er meine Versicherung vielleicht reduzieren könne, weil ich eigentlich zu keiner anderen Kfz-Versicherung gehen wolle, wurde die Versicherung um reduziert. Danke dafür!!","versichert,einfach,schade,versicherung,telefonisch,telefon,kompetent,anspruch",negative
Hat alles schnell und einfach geklappt,"schnell,einfach",positive
"schnelle Abwicklung, sehr guter Service","schnelle,abwicklung,service",positive
Schnell und unkompliziert,"schnell,unkompliziert",positive
unkompliziert schnell,"unkompliziert,schnell",positive
"Alles bestens, jederzeit gerne wieder.",bestens,positive
Super Preis Leistungsverhältnis.,"super,preis",positive
"Es war alles Reibungslos, der App aktualisiert sich sehr gut.",reibungslos,positive
Alles hat wunderbar geklappt.ehr zu empfehlen ?,empfehlen,positive
"Soweit hat alles gut geklappt, war ja auch nicht das erste mal...",,positive
Bin voll zufrieden!,zufrieden,positive
"Es gibt nur 3 WorteVersicherungsbestätigung zulassen kaufen losfahrenesser geht es nicht, ohne wenn und aber. Danke",,positive
Sehr guter und freundlicher Service. Es wird schnell auf persönlichen Belange eingegangen.,"service,schnell",positive
Schnelle und übersichtliche Bearbeitung derolicierung.eiter kann ich mich dazu nicht äussern da dieersicherung erst ab 1.1.2019 in Kraft tritt.ie Qualität einer Versicherung stellt sich erst im Falle eines Schadens heraus.,"schnelle,bearbeitung,policierung,versicherung,schadens",positive
"Sehr schnelle Bearbeitung, eine Änderung wurde reibungslos durchgeführt","schnelle,bearbeitung,reibungslos",positive
"Was soll ich sagen? Es ist eine Versicherung: Ich kann also erst im Leistungsfall bewerten. Der Abschluss selbst war easy, aber hey, wir haben 2018, das sollte es auch sein.","sagen,versicherung,abschluss",neutral
"Schneller und unkomplezierter Vertragsabschluss, sehr freundliche Kunden-Hotline","schneller,vertragsabschluss,kunden-hotline",positive
Die Abschlüsse meiner Versicherungen gut funktioniert !uf meine E-Mail-Anfragen schnell geantwortet !,schnell,positive
schnell und kompetent,"schnell,kompetent",positive
"Ich bin jetzt im 4ten Jahr bei Bavaria Direkt und habe es bisher nicht bereut Kunde zu sein. Die Abwicklung bei Neu abschlüssen ist schnell, unproblematisch und kommunikativ.as Verbesserungsfähig ist, das bei Rückdatierungen von abgemeldeten KFZ Fahrzeugen, die Erstattungen der zuviel bezahlten Beiträge zu lange (meist 14 Tage) dauert.nsonsten bin ich sehr zufrieden. Weiter so.","kunde,abwicklung,schnell,kfz,zufrieden",positive
Beim Online Abschluss der Versicherung ist reibungslosunktioniert.,"online,abschluss,versicherung,reibungslos",positive
"Gute Preise, schneller Vertragsbschluss","preise,schneller",positive
"Leider kann ich nicht viel positives berichten. Auf meinen Abgeschlossene KFZ Versicherung warte ich bis heute auf irgendein Lebenszeichen. Unter Meine BavariaDirekt ist es nicht ersichtlich das ein Vertrag zustande gekommen ist. Meine Mail Anfragen blieben bisher alle unbeantwortet. Wenn bis Ende dieser Woche nichts passiert ist werde ich von meinem Widerrufsrecht gebrauch machen müssen. Schließlich will ich sicherstellen, dass mein PKW auch versichert ist.","kfz,versicherung,vertrag,mail,gebrauch,versichert",negative
"Die Tarife der BavariaDirekt sind günstig. ABER: Der Versuch, dort online eine Versicherung abzuschließen, ist aufgrund technischer Mängel ein Abenteuer. Erster Versuch fehlgeschlagen - zwar habe ich eine Antragsnummer erhalten, auf spätere Nachfrage wurde jedoch bei der Gesellschaft kein Antrag verzeichnet und unter dieser Nummer auch nichts gefunden. Dann erneut beantragt, jedoch längere Zeit keine Unterlagen erhalten. Erst auf wiederholte Nachfrage wurden die Versicherungsunterlagen dann mit einiger Verspätung nachgereicht - erst nach Beginn der Versicherungslaufzeit.uch beim Abschluss einer Kfz-Versicherung hatte ich mit allerlei Fehlern zu kämpfen, so wurde zunächst das Beginndatum 01.01.2019 als fehlerhaft erkannt (was bei einer Kfz-Versicherung den Hauptzeitpunkt für einen Wechsel darstellt). In der Antragsbestätigung dann Felder vertauscht usw., so dass hier wenig Vertrauen in die Online-Abwicklung aufkommt. Umso schlimmer, da es sich um einen reinen Online-Versicherer handelt.","online,versicherung,antrag,unterlagen,abschluss,wechsel",negative
Alles reibungslos und ohne Probleme.,"reibungslos,probleme",positive
Alles war klar. Sogar eine Änderung konnte kurzfristig erledigt werden.,,positive
Schnelle Abwicklung schnelle Antwort,"schnelle,abwicklung,antwort",positive
"Ich bin sehr zufrieden! Gute Preise, schnelles Ablauf,","zufrieden,preise,schnelles,ablauf",positive
"Nachdem mein Ehemann seine Versicherung zur BavariaDirekt geändert hatte, habe ich mich zum gleichen Schritt entschlossen.lle Schritte des Abschlusses verliefen reibungslos und kundenfreundlich.","versicherung,reibungslos,kundenfreundlich",positive
Vertragsabschluss war einfach und unkompliziert.,"vertragsabschluss,einfach,unkompliziert",positive
"Telefonisch ganz einfach NICHT erreichbar für Anfragen. eMail wurde nach zwei Wochen beantwortet - da war die Anmeldung des Autos schon erledigt, danke für nichts.","telefonisch,einfach",negative
"Es hat alles prima geklappt, vom Angebot bis zum Abschluß der Hundeversicherung. Ich bin sehr zufrieden, deshalb auch 5 Sterne...","angebot,zufrieden",positive
Es dauerte sehr lange bis man jemand persönlich erreichte,,negative
"Ich habe bis jetzt zum dritten Mal eine Kfz-Versicherung abgeschlossen und alles verlief reibungslos, sowohl bei der Zulassungsstelle als auch im Schriftverkehr.","reibungslos,zulassungsstelle",positive
Bei der online Antragstellung wurden die eingegebenen Daten bei klick auf den Weiterbutton teilweise verändert.ach 20 Tagen nach der. Anmeldung meines Fahrzeugs habe ich bis dato noch keine Versicherungsnummer und keine grüne Versicherungskarte erhalten.ntwortzeit auf Anfragen empfand ich als zu lange.ch hoffe das sich der weitere Ablauf befriedigender gestaltet.,"online,antragstellung,ablauf",negative
"Leider war mein Vorversicherer nicht beim Online-Antrag aufgeführt, so dass ein mehrtägiger Mail-Verkehr stattfinden musste. Danach lief es dann reibungslos.",reibungslos,negative
Einfach und schnell,"einfach,schnell",positive
Vertragsabwicklung einfach und gut.,"vertragsabwicklung,einfach",positive
Alles gut geklappt. Bisher keine Probleme.,probleme,positive
Alles gut gelaufen.,gelaufen,positive
Problemloser Abschluss,abschluss,positive
Sehr übersichtlich und einfach zu bedienen! Gute Erklärungen! Nur zu empfehlen!,"einfach,empfehlen",positive
"Sehr unkomplizierte, schnelle Abwicklung!ie zusätzlichen Informationen kamen schnell nach Zulassung des Fahrzeuges ebenso die angeforderte „Grüne Versicherungskarte“","schnelle,abwicklung,schnell",positive
"ein einziger Kritikpunkt:enn mann beim ausfüllen des Formulars hin und her springt um zu prüfen oder zu ändern funktioniert bei dem zuletzt bearbeiteten Dokument die (weiter) Funktion nicht.s ist auch nirgendwo erklärt das wenn man das Dokument zu Ende bearbeiten will, um fortzufahren, oben im Dokument auf den Balken (Daten-Adresse-Prüfen-Vertragsabschluß) klicken muß um das Dokument endbearbeiten zu können. Ich habe dazu mehrfach eine Seite neu ausgefüllt, kam aber mit der weiter Funktion nicht ins nächste Dokument wobei ich dann schon von mir gedacht habe ich habe einen an der KLatsche. Es kam auch keine Fehlermeldung das die Seite falsch ausgefüllt ist. Bis das ich dann durch Zufall auf den Balken geklickt habe, ab da konnte ich das Dokument zu Ende bearbeiten. Ansonsten ist das Ausfüllen eines Antrags gut strukturiert und einfach zu bearbeiten.",einfach,negative
Alles bestens. Umstellung auf Elektrofahrzeug lief reibungslos und günstig.,"bestens,reibungslos",positive
Reibungsloser Abschluss online.ine Bewertung der Versicherung kann jedoch erst nach persönlicher Erfahrung erfolgen. Somit gilt das auch für eine Weiterempfehlung.,"abschluss,online,bewertung,versicherung",neutral
Änderungen am bestehenden Vertrag waren sehr einfach zu erledigen. Ein Neuvertrag war innerhalb von 4 Minuten erledigt. Klasse das es alles mittlerweile so einfach geht.,"vertrag,einfach,klasse",positive
"Perfekt einfach, einfach perfekt",einfach,positive
Schneller und einfacher Abschluss bei einem sehr guten Preis-Leistungs-Verhältnis.,"schneller,einfacher,abschluss",positive
Bin schon länger Kunde. Habe weit entferrnt ein Auto gekauft und benötigte gelbe 5-Tages-Kennzeichen. Diese Abwicklung ist allerdings eine Kathastrophe und die hotline hoffnungslos unterbesetzt.,"kunde,abwicklung,hotline",negative
"Übersichtlich, gut sortiert. Einfacher, schneller Abschluss.","einfacher,schneller,abschluss",positive
Alles vollkommen unkompliziert ohne Unterschriften Post- Ident und so weiter.,unkompliziert,positive
Ich bin sehr zufrieden.Alles ist einfach und schnell.,"einfach,schnell",positive
Abschluss hat reibungslos funktioniert.,"abschluss,reibungslos",positive
Schon gute Erfahrungen mit der Tierversicherung unserer ersten Hündin!,erfahrungen,positive
war alles gut und verständlich,,positive
Bis jetzt keine Probleme,probleme,positive
Alles ging reibungslos vonstatten. Auch die Kündigung des Vorvertrags ging präzise vonstatten.,reibungslos,positive
"Die Bedienung des KFZ-Versicherungsrechners ist intuitiv und simpel für den Anwender. Ich bin seit drei Jahren mit zwei Fahrzeugen Kunde und erfreue mich eines günstigen Beitrages. Ein Mailkontakt im Rahmen eines Fahrzeugwechsels wurde innerhalb von 3 Arbeitstagen beantwortet. Mein Extrawunsch wurde bei der Tarifierung des neuen Wagen berücksichtigt. (Einen Schaden hatte ich noch nicht. Zur Leistungsgewährung kann ich daher nichts sagen.) Abschluss Neuvertrag, Website + Ablauf + Kommunikation per Mail völlig problemlos. 5Sterne *****","kunde,schaden,sagen,abschluss,ablauf,kommunikation,mail,problemlos",positive
Der Abschluss der Versicherung hat reibungslos funktioniert und wurde zu meiner vollsten Zufriedenheit abgewickelt. Ich hoffe auf weiterhin gute Zusammenarbeit!,"abschluss,versicherung,reibungslos,abgewickelt",positive
"Einfach, übersichtlich, erbetene Infos wurden schnell geschickt.","einfach,schnell",positive
"Unkompliziert und leicht verständlich , im Vergleich preiswert.",unkompliziert,positive
"Keinerlei Probleme.ünstige Preise, unbürokratischer Service, gute Beratung am Telefon.as will man mehr.ch bin seit 12 Jahren bei bavaria- direkt versichert und bin sehr zufrieden.","probleme,preise,service,beratung,telefon,versichert,zufrieden",positive
"Einfache antworten auf E-Mails dauern Tage, keine Telefonhotline für Vertragsprobleme","antworten,telefonhotline",negative
"Beim Abschluss der Versicherung hat alles reibungslos funktioniert. In kürzester Zeit hatten wir alle erforderlichen Unterlagen. Den Schadenservice können wir noch nicht beurteilen, wir hatten noch keinen.","abschluss,versicherung,reibungslos,unterlagen,schadenservice,beurteilen",positive
Günstig einfach gut!,einfach,positive
Unkompliziert und günstig!,unkompliziert,positive
Gestaltung des WEB-Auftritts übersichtlichlar strukturierte Menüführungute Hilfefunktionen,,positive
"Das Online-Portal fand ich sehr gut und auch einfach zu bedienen. Der Abschluß selber bzw die Zusendung der EvB Nummer hat reibungslos funktioniert. Alles weitere kann ich noch gar nicht bewerten, da ich noch keine Zugangsdaten eetc zugeschickt bekommen habe. Nur die Bestätigung, dass die Versicherung wohl abgeschlossen ist.","einfach,zusendung,reibungslos,versicherung",positive
"Alles gut. Reibungsloser Vorgang. Zwar alles etwas anonym, aber ist ja auch eine Internet Versicherung.twas irritiert war ich nur durch den Sprachassistenten der Hotline. Da sollte es wenigstens die Möglichkeit geben über diesen Weg einen persönlichen Berater zu sprechen...","vorgang,versicherung,hotline,weg",positive
Sehr gutes Mengagement,,positive
Der Internet-Auftritt und die Kommunikation sind sehr schwierig,kommunikation,negativ
Sehr schneller und guter Service!,"schneller,service",positive
Sehr schnelle Bearbeitung,"schnelle,bearbeitung",positive
"Reibungslos, schnell und übersichtlich! Alles bestens.","reibungslos,schnell,bestens",positive
Mitarbeiter sehr Freundlich und Hilfsbereit,"mitarbeiter,freundlich",positive
